,pos,height,weight,hits/throws,number,image
Ryan Lorber,C,"6'0""",195,R/R,2,https://gvsulakers.com/images/2019/10/16/Lorber_Ryan.jpg?width=80
Alex McCormack,1B/P,"6'2""",185,L/L,4,https://gvsulakers.com/images/2019/10/16/McCormack_Alex.jpg?width=80
Stephen Pim,OF,"6'0""",182,R/L,5,https://gvsulakers.com/images/2019/10/16/Pim_Stephen.jpg?width=80
Parker Murdie,INF,"6'0""",170,R/R,6,https://gvsulakers.com/images/2019/10/16/Murdie_Parker.jpg?width=80
Nathan Bonter,INF,"5'11""",185,L/R,7,https://gvsulakers.com/images/2019/10/16/Bonter_Nathan.jpg?width=80
Connor Grice,C,"5'7""",183,R/R,8,https://gvsulakers.com/images/2019/10/16/Grice_Connor.jpg?width=80
Jared Skubic,RHP,"6'0""",180,R/R,9,https://gvsulakers.com/images/2019/10/16/Skubic_Jared.jpg?width=80
Jordan Chandler,INF,"5'9""",205,R/R,10,https://gvsulakers.com/images/2019/10/16/Chandler_Jordan.jpg?width=80
Anthony Fleischauer,INF,"6'1""",195,L/R,11,https://gvsulakers.com/images/2019/10/16/Fleischauer_Tony.jpg?width=80
Jake Rydquist,INF,"6'2""",185,,12,https://gvsulakers.com/images/2019/10/16/Rydquist_Jake.jpg?width=80
Jonathan Catapano,OF,"5'10""",185,R/R,13,https://gvsulakers.com/images/2019/10/16/Catapano_Jonathan.jpg?width=80
Cameron Brayman,C,"5'10""",205,L/R,14,https://gvsulakers.com/images/2019/10/16/Brayman_Cameron.jpg?width=80
Keaghan Sutliff,RHP,"6'2""",215,R/R,15,https://gvsulakers.com/images/2019/10/16/Sutliff_Keaghan.jpg?width=80
Zachary Collins,C,"5'11""",195,R/R,16,https://gvsulakers.com/images/2019/10/16/Collins_Zach.jpg?width=80
Christian Faust,INF,"6'0""",180,R/R,17,https://gvsulakers.com/images/2019/10/16/Faust_Christian.jpg?width=80
Nathan Wargolet,RHP,"6'6""",195,,18,https://gvsulakers.com/images/2019/10/16/Wargolet_Nate.jpg?width=80
Nathan Logan,OF,"6'2""",160,L/L,19,https://gvsulakers.com/images/2019/10/28/Logan_Nate.jpg?width=80
Joseph Huesing,RHP,"6'5""",220,R/R,20,https://gvsulakers.com/images/2019/10/16/Huesins_Joseph.jpg?width=80
Spencer Nelson,OF,"6'3""",190,R/R,21,https://gvsulakers.com/images/2019/10/16/Nelson_Spencer.jpg?width=80
Mark Scannell,RHP,"6'3""",205,R/R,22,https://gvsulakers.com/images/2019/10/16/Scannell_Mark.jpg?width=80
Joe Laudont,C,"6'0""",205,R/R,23,https://gvsulakers.com/images/2019/10/16/Laudont_Joe.jpg?width=80
Cacey O'Brien,1B,"6'6""",225,,24,https://gvsulakers.com/images/2019/10/16/O_Brien_Cacey.jpg?width=80
Anthony Cocco,INF,"6'0""",192,L/R,25,https://gvsulakers.com/images/2019/10/16/Coco_Anthony.jpg?width=80
Sam Leck,RHP,"6'3""",175,R/R,26,https://gvsulakers.com/images/2019/10/16/Leck_Sam.jpg?width=80
Blake Vershum,C/INF,"6'0""",185,,27,https://gvsulakers.com/images/2019/10/16/Vershumb_Blake.jpg?width=80
Cade Cintorino,LHP,"6'3""",200,L/L,28,https://gvsulakers.com/images/2019/10/16/Cintorino_Cade.jpg?width=80
Luke Hargis,RHP,"6'2""",185,R/R,29,https://gvsulakers.com/images/2019/10/16/Hargis_Luke.jpg?width=80
Nick Shaw,P,"6'1""",200,L/L,30,https://gvsulakers.com/images/2019/10/16/Shaw_Nick.jpg?width=80
Rylan Peets,RHP,"6'1""",170,L/R,31,https://gvsulakers.com/images/2019/10/16/Peets_Rylan.jpg?width=80
Ryan Blake-Jones,C/1B,"6'3""",219,R/R,32,https://gvsulakers.com/images/2019/10/16/Blake_Jones_Ryan.jpg?width=80
Michael Barno,RHP,"6'4""",240,,33,https://gvsulakers.com/images/2019/10/16/Barno_Michael.jpg?width=80
Anthony Zurke,LHP,"6'3""",220,R/L,34,https://gvsulakers.com/images/2019/10/16/Zurke_Anthony.jpg?width=80
Ben Thomas,RHP,"6'6""",250,,40,https://gvsulakers.com/images/2019/10/16/Thomas_Ben.jpg?width=80
Austin Brown,RHP,"6'0""",195,,44,https://gvsulakers.com/images/2020/2/12/Brown_Austin.jpg?width=80
