,pos,height,weight,hits/throws,number,image
Stephen Claypool,INF,"5'10""",,,2,https://gvsulakers.com/images/2014/5/12/8529070.jpeg?width=80
Kevin Zak,INF,"6'3""",,,3,https://gvsulakers.com/images/2014/5/12/9692695.jpeg?width=80
Mike Nadratowski,OF,"6'0""",,,4,https://gvsulakers.com/images/2014/5/12/9692569.jpeg?width=80
Ariel Aracena-Sanchez,OF,"6'1""",,,5,https://gvsulakers.com/images/2014/5/12/9692436.jpeg?width=80
Taylor Banks,C,"5'7""",,,6,https://gvsulakers.com/images/2014/5/12/9692438.jpeg?width=80
Kyle Teague,RHP,"6'1""",,,7,https://gvsulakers.com/images/2014/5/12/8529303.jpeg?width=80
Chris Ripple,OF/P,"6'2""",,,8,https://gvsulakers.com/images/2014/5/12/9692676.jpeg?width=80
Jesse Abel,INF,"5'11""",,,9,https://gvsulakers.com/images/2014/5/12/9692435.jpeg?width=80
Kyle Zegarac,RHP,"6'1""",,,10,https://gvsulakers.com/images/2014/5/12/8529329.jpeg?width=80
Eric Hess,C,"6'0""",,,11,https://gvsulakers.com/images/2014/5/12/9692509.jpeg?width=80
Matthew Schuch,C,"5'11""",,,12,https://gvsulakers.com/images/2014/5/12/8529299.jpeg?width=80
Kevin Carroll,INF,"6'2""",,,13,https://gvsulakers.com/images/2014/5/12/9692448.jpeg?width=80
Brett MacDonald,C,"6'2""",,,14,https://gvsulakers.com/images/2014/5/12/8529270.jpeg?width=80
Alex Kroll,C,"5'10""",,,15,https://gvsulakers.com/images/2014/5/12/8529262.jpeg?width=80
Brad Zambron,LHP,"6'0""",,,16,https://gvsulakers.com/images/2014/5/12/8529326.jpeg?width=80
Sean Clancy,RHP,"6'3""",,,17,https://gvsulakers.com/images/2014/5/12/9692456.jpeg?width=80
Chris Rudenga,OF,"5'11""",,,18,https://gvsulakers.com/images/2014/5/12/8529288.jpeg?width=80
Chris Ward,LHP,"6'3""",,,21,https://gvsulakers.com/images/2014/5/12/9692691.jpeg?width=80
Anthony Campanella,RHP,"6'2""",,,25,https://gvsulakers.com/images/2014/5/12/8529052.jpeg?width=80
Stuart Eisler,INF,"6'3""",,,26,https://gvsulakers.com/images/2014/5/12/9692485.jpeg?width=80
Jamie Potts,OF,"6'2""",,,27,https://gvsulakers.com/images/2014/5/12/8529282.jpeg?width=80
Patrick Kelly,RHP,"5'8""",,,28,https://gvsulakers.com/images/2014/5/12/9692494.jpeg?width=80
Alex Trautmann,OF,"6'2""",,,29,https://gvsulakers.com/images/2014/5/12/9692685.jpeg?width=80
Skylar Hoke,RHP,"6'0""",,,30,https://gvsulakers.com/images/2014/5/12/8529201.jpeg?width=80
Mitchell Kozlowski,INF,"5'8""",,,31,https://gvsulakers.com/images/2014/5/12/9692498.jpeg?width=80
Russell Griffin,LHP,"6'2""",,,32,https://gvsulakers.com/images/2014/5/12/9692486.jpeg?width=80
J.T. Kawaski,RHP,"6'3""",,,33,https://gvsulakers.com/images/2014/5/12/8529241.jpeg?width=80
Dan Saier,RHP,"6'0""",,,34,https://gvsulakers.com/images/2014/5/12/9692656.jpeg?width=80
Cody Westerhuis,LHP,"6'0""",,,38,https://gvsulakers.com/images/2014/5/12/9692693.jpeg?width=80
Giancarlo Brugnoni,INF,"6'3""",,,40,https://gvsulakers.com/images/2014/5/12/9692446.jpeg?width=80
Drake,RHP,"6'6""",,,Jordan,https://gvsulakers.com/images/2014/5/12/9692474.jpeg?width=80
Ferguson,IF/OF,"5'10""",,,Travis,https://gvsulakers.com/images/2014/5/12/8529110.jpeg?width=80
