,pos,height,weight,hits/throws,number,image
Alex Mandeville,SS,"5'10""",170,R/R,1,https://gvsulakers.com/images/2017/12/1//Alex_Mandeviale.JPG?width=80
Drake Ellens,OF,"6'0""",170,R/R,2,https://gvsulakers.com/images/2017/12/1//Drake_Ellens.JPG?width=80
Ryan Arnold,P,"6'4""",215,R/R,3,https://gvsulakers.com/images/2017/12/1//Ryan_Arnold.JPG?width=80
Jacob Gleason,OF,"6'3""",210,R/R,4,https://gvsulakers.com/images/2017/12/1//Jake_Gleason.JPG?width=80
Chase Carpenter,INF/OF,"6'0""",165,R/L,5,https://gvsulakers.com/images/2017/12/1//Aaron_Donald.JPG?width=80
Nate Chase,INF,"6'0""",190,R/R,6,https://gvsulakers.com/images/2017/12/1//Nate_Chase.JPG?width=80
Christian Mercure,P,"6'1""",190,R/R,8,https://gvsulakers.com/images/2017/12/1//Christian_Mercure.JPG?width=80
Josh C. Smith,2B,"5'11""",175,R/R,9,https://gvsulakers.com/images/2017/1/26//Josh_Smith.jpg?width=80
Zach Berry,OF,"5'9""",172,R/R,10,https://gvsulakers.com/images/2017/12/1//Zach_Berry.JPG?width=80
Kyle Lawson,P,"6'3""",220,R/R,13,https://gvsulakers.com/images/2017/12/1//Kyle_Lauson.JPG?width=80
Grant Peters,P,"6'4""",230,R/R,14,https://gvsulakers.com/images/2017/12/1//Grant_Peters.JPG?width=80
Connor Glick,C,"6'4""",220,R/R,16,https://gvsulakers.com/images/2017/12/1//Connor_Glock.JPG?width=80
Christian Faust,INF,"6'0""",180,R/R,17,https://gvsulakers.com/images/2017/12/1//Chris_Faust.JPG?width=80
Brett Nearing,P,"6'6""",202,R/R,20,https://gvsulakers.com/images/2017/12/1//Brett_Nearing.JPG?width=80
Joey Nate,P/1B,"6'0""",220,L/L,21,https://gvsulakers.com/images/2017/12/1//Joey_Nate.JPG?width=80
Tate Brawley,P,"6'4""",200,R/R,22,https://gvsulakers.com/images/2017/12/1//Chase_Carpenter.JPG?width=80
Austin LaDoux,C/3B,"6'0""",215,R/R,24,https://gvsulakers.com/images/2017/12/1//Austin_LaDoux.JPG?width=80
Noah Lamboley,P,"5'11""",180,R/R,26,https://gvsulakers.com/images/2017/12/1//Noah_Lamboley.JPG?width=80
Zach Vitkuske,P,"6'2""",190,R/R,28,https://gvsulakers.com/images/2017/12/1//Zach_Vitkuske.JPG?width=80
Connor Grice,C,"5'7""",183,R/R,29,https://gvsulakers.com/images/2017/12/1//Conner_Grice.JPG?width=80
Nick Shaw,P,"6'1""",200,L/L,30,https://gvsulakers.com/images/2017/12/1//Nick_Shaw.JPG?width=80
Evan Koning,P,"5'10""",185,R/R,31,https://gvsulakers.com/images/2017/12/1//Evan_Koning.JPG?width=80
Ryan Blake-Jones,C/1B,"6'3""",219,R/R,32,https://gvsulakers.com/images/2017/12/1//Ryan_Blake_Jones.JPG?width=80
Jake Mason,P,"6'3""",210,R/R,33,https://gvsulakers.com/images/2017/12/1//Jake_Mason.JPG?width=80
Alex Licata,P,"6'2""",165,R/R,34,https://gvsulakers.com/images/2017/12/1//Alex_Licata.JPG?width=80
Josh D. Smith,P,"6'5""",235,L/L,38,https://gvsulakers.com/images/2017/12/1//Josh_D_Smith.JPG?width=80
Brendan Nearing,P,"6'6""",212,L/L,40,https://gvsulakers.com/images/2017/12/1//Tate_Brausley.JPG?width=80
Mohr,P,"6'3""",205,R/R,AJ,https://gvsulakers.com/images/2017/12/1//Brendan_Nearling.JPG?width=80
Morelli,P,"6'0""",185,R/R,Michael,https://gvsulakers.com/images/2017/12/1//Michael_Morelli.JPG?width=80
