,pos,height,weight,hits/throws,number,image
Joel Schipper,IF/OF,"5'10""",189,L/R,2,https://gvsulakers.com/images/2014/5/27//joel_schipper.jpg?width=80
Kevin Zak,INF,"6'2""",187,R/R,3,https://gvsulakers.com/images/2014/5/27//kevin_zak.jpg?width=80
Mike Nadratowski,OF,"5'11""",190,L/L,4,https://gvsulakers.com/images/2014/5/27//mike_nadratowski.jpg?width=80
Ariel Aracena-Sanchez,OF,"6'0""",170,R/R,5,https://gvsulakers.com/images/2014/5/22//ariel_aracena_sanchez.jpg?width=80
Taylor Banks,C,"5'6""",189,R/R,6,https://gvsulakers.com/images/2014/5/27//taylor_banks.jpg?width=80
Chris Ripple,OF/P,"6'1""",205,R/R,7,https://gvsulakers.com/images/2014/5/22//chris_ripple.jpg?width=80
Scott Young,C,"5'10""",167,R/R,8,https://gvsulakers.com/images/2014/5/27//scott_young.jpg?width=80
Jesse Abel,INF,"5'9""",167,R/R,9,https://gvsulakers.com/images/2014/5/27//jesse_abel.jpg?width=80
Kevin Hallberg,RHP,"6'0""",177,R/R,10,https://gvsulakers.com/images/2014/5/27//kevin_hallberg.jpg?width=80
Eric Hess,C,"6'0""",185,R/R,11,https://gvsulakers.com/images/2014/5/22//eric_hess.jpg?width=80
Dalton Reust,INF,"5'10""",158,R/R,12,https://gvsulakers.com/images/2014/5/22//dalton_reust.jpg?width=80
Kevin Carroll,1B,"6'2""",202,R/R,13,https://gvsulakers.com/images/2014/5/27//kevin_carroll.jpg?width=80
Aaron Overbeck,INF,"5'10""",192,R/R,14,https://gvsulakers.com/images/2014/5/22//aaron_overbeck.jpg?width=80
Sean Clancy,RHP,"6'3""",205,R/R,17,https://gvsulakers.com/images/2014/5/27//sean_clancy.jpg?width=80
Patrick Bobolts,C,"5'8""",192,R/R,18,https://gvsulakers.com/images/2014/5/27//patrick_bobolts.jpg?width=80
Jordan Drake,RHP,"6'5""",195,L/R,20,https://gvsulakers.com/images/2014/5/27//jordan_drake.jpg?width=80
Chris Ward,LHP,"6'3""",201,L/L,21,https://gvsulakers.com/images/2014/5/22//chris_ward.jpg?width=80
Evan Nietfeldt,RHP,"6'2""",191,R/R,24,https://gvsulakers.com/images/2014/5/22//evan_nietfeldt.jpg?width=80
Tim Tarter,LHP,"6'3""",212,L/L,25,https://gvsulakers.com/images/2014/5/27//tim_tarter.jpg?width=80
Stuart Eisler,INF,"6'1""",195,R/R,26,https://gvsulakers.com/images/2014/5/27//stuart_eisler.jpg?width=80
Jamie Potts,OF,"6'2""",225,L/R,27,https://gvsulakers.com/images/2014/5/27//jamie_potts.jpg?width=80
Patrick Kelly,RHP,"5'8""",158,R/R,28,https://gvsulakers.com/images/2014/5/27//patrick_kelly.jpg?width=80
Alex Trautmann,OF,"6'2""",192,R/R,29,https://gvsulakers.com/images/2014/5/22//alex_trautmann.jpg?width=80
Adam Poel,RHP,"5'11""",208,R/R,30,https://gvsulakers.com/images/2014/5/22//adam_poel.jpg?width=80
Mitchell Kozlowski,INF,"5'8""",161,R/R,31,https://gvsulakers.com/images/2014/5/27//mitchell_kozlowski.jpg?width=80
Russell Griffin,LHP,"6'2""",174,R/L,32,https://gvsulakers.com/images/2014/5/27//russell_griffin.jpg?width=80
Aaron Jensen,RHP,"6'6""",239,R/R,33,https://gvsulakers.com/images/2014/5/22//aaron_jensen.jpg?width=80
Dan Saier,RHP,"5'9""",190,R/R,34,https://gvsulakers.com/images/2014/5/22//dan_saier.jpg?width=80
Cody Westerhuis,LHP,"5'10""",184,L/L,38,https://gvsulakers.com/images/2014/5/22//cody_westerhuis.jpg?width=80
Giancarlo Brugnoni,1B,"6'3""",232,R/R,40,https://gvsulakers.com/images/2014/5/22//giancarlo_brugnoni.jpg?width=80
Hoogerhyde,OF,"6'0""",223,R/R,Heath,https://gvsulakers.com/images/2014/5/22//heath_hoogerhyde.jpg?width=80
Lozen,RHP,"6'0""",178,R/R,Tyler,https://gvsulakers.com/images/2014/5/27//tyler_lozen.jpg?width=80
McClelland,RHP,"6'0""",232,L/R,Ryan,https://gvsulakers.com/images/2014/5/27//ryan_mcclelland.jpg?width=80
