,pos,height,weight,hits/throws,number,image
Ryan Lorber,C,"6'0""",195,R/R,2,https://gvsulakers.com/images/2020/9/10/Lorber_Ryan.jpg?width=80
Alex McCormack,1B/P,"6'2""",185,L/L,4,https://gvsulakers.com/images/2020/9/10/Mccormack_Alex.jpg?width=80
Carter Smith,OF,"6'0""",185,L/R,5,https://gvsulakers.com/images/2020/9/10/Smith_Carter.jpg?width=80
Parker Murdie,INF,"6'0""",170,R/R,6,https://gvsulakers.com/images/2020/9/10/Murdie_Parker.jpg?width=80
Nathan Bonter,INF,"5'11""",185,L/R,7,https://gvsulakers.com/images/2020/9/10/Bonter_Nathan.jpg?width=80
Kyle Nott,OF/INF,"6'0""",190,L/R,8,https://gvsulakers.com/images/2021/1/20/Nott_Kyle.jpg?width=80
Jared Skubic,RHP,"6'0""",180,R/R,9,https://gvsulakers.com/images/2020/9/10/Skubic_Jared.jpg?width=80
Jordan Chandler,INF,"5'9""",205,R/R,10,https://gvsulakers.com/images/2020/9/10/Chandler_Jordan.jpg?width=80
Connor Schuman,INF,"5'10""",160,R/R,11,https://gvsulakers.com/images/2020/9/10/Schuman_Connor.jpg?width=80
Jake Rydquist,INF,"6'2""",185,R/R,12,https://gvsulakers.com/images/2020/9/10/Rydquist_Jake.jpg?width=80
Zach Karbowski,RHP,"6'3""",235,,14,https://gvsulakers.com/images/2020/9/10/Kabowksi_Zach.jpg?width=80
Cade Stanton,INF,"6'1""",205,R/R,15,https://gvsulakers.com/images/2020/9/10/Stanton_Cade.jpg?width=80
Zachary Collins,C,"5'11""",195,R/R,16,https://gvsulakers.com/images/2020/9/10/Collins_Zachary.jpg?width=80
Christian Faust,INF,"6'0""",180,R/R,17,https://gvsulakers.com/images/2020/9/10/Faust_Christian.jpg?width=80
Nathan Wargolet,RHP,"6'6""",195,R/R,18,https://gvsulakers.com/images/2020/9/10/Wargolet_Nathan.jpg?width=80
Nathan Logan,OF,"6'2""",190,L/L,19,https://gvsulakers.com/images/2020/9/10/Logan_Nathan.jpg?width=80
Joseph Huesing,RHP,"6'5""",220,R/R,20,https://gvsulakers.com/images/2020/9/10/Huesing_Joseph.jpg?width=80
Mark Scannell,RHP,"6'3""",205,R/R,22,https://gvsulakers.com/images/2020/9/10/Scannell_Mark.jpg?width=80
Joe Laudont,C,"6'0""",205,R/R,23,https://gvsulakers.com/images/2020/9/10/Laudont_Joe.jpg?width=80
Cacey O'Brien,1B,"6'6""",225,R/R,24,https://gvsulakers.com/images/2020/9/10/O_Brien_Cacey.jpg?width=80
Anthony Cocco,INF,"6'0""",192,L/R,25,https://gvsulakers.com/images/2020/9/10/Cocco_Anthony.jpg?width=80
Sam Leck,RHP,"6'3""",175,R/R,26,https://gvsulakers.com/images/2020/9/10/Leck_Sam.jpg?width=80
Cade Cintorino,LHP,"6'3""",200,L/L,28,https://gvsulakers.com/images/2020/9/10/Cintorino_Cade.jpg?width=80
Luke Hargis,RHP,"6'2""",195,R/R,29,https://gvsulakers.com/images/2020/9/10/Hargis_Luke.jpg?width=80
Nick Shaw,P,"6'1""",200,L/L,30,https://gvsulakers.com/images/2020/9/10/Shaw_Nick.jpg?width=80
Rylan Peets,RHP,"6'1""",170,L/R,31,https://gvsulakers.com/images/2020/9/10/Peets_Rylan.jpg?width=80
Ryan Blake-Jones,C/1B,"6'3""",228,R/R,32,https://gvsulakers.com/images/2020/9/10/Blake_Jones_Ryan.jpg?width=80
Michael Barno,RHP,"6'4""",240,R/R,33,https://gvsulakers.com/images/2020/9/10/Barno_Michael.jpg?width=80
Anthony Zurke,LHP,"6'3""",220,R/L,34,https://gvsulakers.com/images/2020/9/10/Zurke_Anthony.jpg?width=80
Ben Thomas,RHP,"6'6""",275,R/R,40,https://gvsulakers.com/images/2020/9/10/Thomas_Ben.jpg?width=80
Nick Rutkowski,RHP,"6'0""",190,,41,https://gvsulakers.com/images/2021/2/25/Rutkowski_Nick.jpg?width=80
Austin Brown,RHP,"6'0""",195,R/R,44,https://gvsulakers.com/images/2020/9/10/Brown_Austin.jpg?width=80
Conner McCormack,1B,"6'3""",205,,45,https://gvsulakers.com/images/2020/9/10/Mccormack_Conner.jpg?width=80
Dawson Clancy,C,"6'2""",190,,48,https://gvsulakers.com/images/2021/2/25/Clacy_Dawson.jpg?width=80
Nelson,OF,"6'3""",190,R/R,Spencer,
