,pos,height,weight,hits/throws,number,image
Justin Mansager,OF,"6'2""",180,R/R,1,https://gvsulakers.com/images/2021/11/3/Mansages_Justin.jpg?width=80
Justin Ratliff,INF,"5'8""",185,R/R,2,https://gvsulakers.com/images/2021/11/3/Ratliff_Justin.jpg?width=80
Jonas Gulbrandsen,INF,"6'3""",195,R/R,3,https://gvsulakers.com/images/2021/11/3/Gulbrandsen_Jonas.jpg?width=80
Carter Smith,OF,"6'0""",191,S/R,5,https://gvsulakers.com/images/2021/11/3/Smith_Carter_71.jpg?width=80
Nathan Logan,OF,"6'2""",190,L/L,6,https://gvsulakers.com/images/2021/11/3/Logan_Nate.jpg?width=80
Kyle Nott,OF,"6'0""",190,L/R,8,https://gvsulakers.com/images/2021/11/3/Nott_Kyle.jpg?width=80
Colby Phipps,RHP,"6'1""",190,R/R,10,https://gvsulakers.com/images/2021/11/3/Phipps_Colby.jpg?width=80
Connor Schuman,INF,"5'10""",165,R/R,11,https://gvsulakers.com/images/2021/11/3/Schuman_Connor.jpg?width=80
Jake Rydquist,INF,"6'2""",185,R/R,12,https://gvsulakers.com/images/2021/11/3/Rydquist_Jake.jpg?width=80
Allan Thorington,LHP,"5'9""",190,L/L,13,https://gvsulakers.com/images/2021/11/3/Thorington_Allan.jpg?width=80
Patrick McDonald,OF,"6'2""",200,R/R,14,https://gvsulakers.com/images/2021/11/3/McDonald_Patrick_71.jpg?width=80
Cade Stanton,INF,"6'1""",205,R/R,15,https://gvsulakers.com/images/2021/11/3/Stanton_Cade.jpg?width=80
Zachary Collins,C,"5'11""",195,R/R,16,https://gvsulakers.com/images/2021/11/3/Collins_Zach.jpg?width=80
Christian Faust,INF,"6'0""",180,R/R,17,https://gvsulakers.com/images/2021/11/3/Faust_Christian.jpg?width=80
Nathan Wargolet,RHP,"6'6""",195,R/R,18,https://gvsulakers.com/images/2021/11/3/Wargolet_Nathan.jpg?width=80
Joseph Huesing,RHP,"6'5""",220,R/R,20,https://gvsulakers.com/images/2021/11/3/Huesing_Joseph.jpg?width=80
Spencer Nelson,OF,"6'3""",195,R/R,21,https://gvsulakers.com/images/2021/11/3/Nelson_Spenser.jpg?width=80
Mark Scannell,RHP,"6'3""",205,R/R,22,https://gvsulakers.com/images/2021/11/3/Scannell_Mark.jpg?width=80
Carter Rohman,INF,"6'3""",185,R/R,23,https://gvsulakers.com/images/2021/11/3/Rohman_Carter.jpg?width=80
MacArthur Graybill,C,"6'0""",195,R/R,24,https://gvsulakers.com/images/2021/11/3/Graybill_MacArthur.jpg?width=80
Dawson Clancy,C,"6'2""",195,R/R,25,https://gvsulakers.com/images/2021/11/3/Clancy_Dawson.jpg?width=80
Sam Leck,RHP,"6'3""",197,R/R,26,https://gvsulakers.com/images/2021/11/3/Leck_Sam.jpg?width=80
Brendan Guciardo,C,"6'0""",185,R/R,28,https://gvsulakers.com/images/2021/11/3/Guciardo_Brendan.jpg?width=80
Nick Shaw,LHP,"6'1""",205,L/L,30,https://gvsulakers.com/images/2021/11/3/Shaw_Nick_71.jpg?width=80
Rylan Peets,RHP,"6'3""",210,L/R,31,https://gvsulakers.com/images/2021/11/3/Peets_Rylan1.jpg?width=80
Collin Bradley,RHP,"6'2""",187,R/R,35,https://gvsulakers.com/images/2021/11/3/Bradley_Collin.jpg?width=80
Ben Thomas,RHP,"6'5""",280,R/R,40,https://gvsulakers.com/images/2021/11/3/Thomas_Benjamin.jpg?width=80
Nick Rutkowski,RHP,"6'0""",205,R/R,41,https://gvsulakers.com/images/2021/11/3/Rutkowski_Nick.jpg?width=80
Austin Brown,RHP,"6'0""",215,R/R,44,https://gvsulakers.com/images/2021/11/3/Brown_Austin.jpg?width=80
Conner McCormack,1B,"6'3""",205,R/R,45,https://gvsulakers.com/images/2021/11/3/McCormack_Conner_71.jpg?width=80
Logan Wynalda,RHP,"6'5""",220,R/R,55,https://gvsulakers.com/images/2021/11/3/Wynalda_Logan.jpg?width=80
