,pos,height,weight,hits/throws,number,image
Johnny Nate,INF,"5'9""",180,R/R,1,https://gvsulakers.com/images/2016/2/16//johnny_nate.jpg?width=80
Joel Schipper,IF/OF,"5'11""",187,L/R,2,https://gvsulakers.com/images/2016/2/16//joel_schipper.jpg?width=80
Nick Schultz,INF,"5'9""",175,R/R,4,https://gvsulakers.com/images/2016/2/16//nick_schulte.jpg?width=80
Seth Johnson,OF,"5'9""",180,L/R,5,https://gvsulakers.com/images/2016/2/16//seth_johnson.jpg?width=80
Dakota Prince,C,"6'0""",195,R/R,6,https://gvsulakers.com/images/2016/2/16//dakota_prince.jpg?width=80
Matt Williams,P/IF/OF,"6'3""",200,R/R,7,https://gvsulakers.com/images/2016/2/16//matt_williams.jpg?width=80
Michael Battistelli,C,"5'10""",175,L/R,8,https://gvsulakers.com/images/2016/2/16//mike_battistelli.jpg?width=80
Josh C. Smith,INF,"5'11""",175,R/R,9,https://gvsulakers.com/images/2016/2/16//joshua_smith.jpg?width=80
Zach Berry,OF,"5'8""",172,R/R,10,https://gvsulakers.com/images/2016/2/16//zach_berry.jpg?width=80
Mitch Ashcraft,RHP,"5'11""",145,R/R,11,https://gvsulakers.com/images/2016/2/16//mitch_ashcraft.jpg?width=80
Alex Young,OF,"6'2""",180,R/R,12,https://gvsulakers.com/images/2016/2/16//alex_young.jpg?width=80
Kyle Lawson,P,"6'1""",224,R/R,13,https://gvsulakers.com/images/2016/2/16//kyle_lawson.jpg?width=80
AJ Mohr,P,"6'2""",180,R/R,15,https://gvsulakers.com/images/2016/2/16//aj_mohr.jpg?width=80
Connor Glick,C,"6'4""",200,R/R,16,https://gvsulakers.com/images/2016/2/16//connor_glick.jpg?width=80
Anthony Villar,INF,"6'1""",200,R/R,17,https://gvsulakers.com/images/2016/2/16//anthony_villar.jpg?width=80
Tyler Ramoie,C,"5'10""",177,R/R,18,https://gvsulakers.com/images/2016/2/16//tyler_ramoie.jpg?width=80
Brett Nearing,P,"6'6""",202,R/R,20,https://gvsulakers.com/images/2016/2/16//brett_nearing.jpg?width=80
Sawyer Chambers,P,"6'2""",200,R/R,21,https://gvsulakers.com/images/2016/2/16//sawyer_chambers.jpg?width=80
Tyler Lozen,RHP,"6'2""",200,R/R,22,https://gvsulakers.com/images/2016/2/16//tyler_lozen.jpg?width=80
Josh Griffith,RHP/1B,"6'3""",200,R/R,24,https://gvsulakers.com/images/2016/2/16//josh_griffith.jpg?width=80
Tim Tarter,LHP,"6'5""",225,L/L,25,https://gvsulakers.com/images/2016/2/16//tim_tarter.jpg?width=80
Reid Kelley,RHP,"6'2""",190,R/R,26,https://gvsulakers.com/images/2016/2/16//reid_kelley.jpg?width=80
Keith Browning,OF,"5'10""",166,R/R,28,https://gvsulakers.com/images/2016/2/16//keith_browning.jpg?width=80
Zach Anderson,RHP,"6'0""",160,R/R,29,https://gvsulakers.com/images/2016/2/16//zach_anderson.jpg?width=80
Troy Dykhuis,P,"6'1""",211,R/R,30,https://gvsulakers.com/images/2016/2/16//troy_dykhuis.jpg?width=80
Evan Koning,P,"5'10""",185,R/R,31,https://gvsulakers.com/images/2016/2/16//evan_koning.jpg?width=80
Ryan Blake-Jones,C,"6'2""",206,R/R,32,https://gvsulakers.com/images/2016/2/16//ryan_blake_jones.jpg?width=80
Brody Andrews,C,"5'8""",193,R/R,34,https://gvsulakers.com/images/2016/2/16//brody_andrews.jpg?width=80
Brendan Nearing,P,"6'6""",225,L/L,40,https://gvsulakers.com/images/2016/2/16//brendan_nearing.jpg?width=80
Jason Ribecky,OF,"6'4""",225,L/R,40,https://gvsulakers.com/images/2016/2/16//jason_ribecky.jpg?width=80
Grice,C,"5'7""",183,R/R,Connor,https://gvsulakers.com/images/2016/2/16//connor_grice.jpg?width=80
Liagre,INF,"5'10""",215,R/R,Ryan,https://gvsulakers.com/images/2016/2/16//ryan_liagre.jpg?width=80
Wilkins,INF,"6'3""",213,R/R,Ben,https://gvsulakers.com/images/2016/2/16//ben_wilkins.jpg?width=80
