,pos,height,weight,hits/throws,number,image
Justin Mansager,OF,"6'2""",180,R/R,1,https://gvsulakers.com/images/2022/9/21/Mansager__Justin_ZAdix.jpg?width=80
Justin Ratliff,INF,"5'8""",185,R/R,2,https://gvsulakers.com/images/2022/9/21/Ratliff__Justin_2Dfla.jpg?width=80
Jonas Gulbrandsen,INF,"6'3""",195,R/R,3,https://gvsulakers.com/images/2022/9/21/Gulbrandsen__Jonas_dvWh6.jpg?width=80
John Passinault,INF,"6'0""",175,R/R,4,https://gvsulakers.com/images/2022/9/21/Passinault__John_cRg9T.jpg?width=80
Nick Krstich,C,"6'1""",200,R/R,5,https://gvsulakers.com/images/2022/9/21/Krstich__Nick_lBddY.jpg?width=80
Nathan Logan,OF,"6'2""",190,L/L,6,https://gvsulakers.com/images/2022/9/21/Logan__Nate_3Re0J.jpg?width=80
Ayden VanEnkevort,INF/P,"6'1""",186,R/R,7,https://gvsulakers.com/images/2022/9/21/Vanenkevort__Ayden_w08AO.jpg?width=80
Kyle Nott,OF,"6'0""",190,L/R,8,https://gvsulakers.com/images/2022/10/13/Nott__Kyle_Y77BP.jpg?width=80
Cole Wilhelmi,INF,"6'4""",210,L/R,9,https://gvsulakers.com/images/2022/9/21/Wilhelmi__Cole_XXwFG.jpg?width=80
Colby Phipps,RHP,"6'1""",190,R/R,10,https://gvsulakers.com/images/2022/9/21/Phipps__Colby_qRush.jpg?width=80
Connor Schuman,INF,"5'10""",165,R/R,11,https://gvsulakers.com/images/2022/9/21/Schuman__Connor_CuoqU.jpg?width=80
Jake Rydquist,INF,"6'2""",185,R/R,12,https://gvsulakers.com/images/2022/9/21/Rydquist__Jake_0iqp6.jpg?width=80
Allan Thorington,LHP,"5'9""",190,L/L,13,https://gvsulakers.com/images/2022/9/21/Thorington__Allan_9bmh9.jpg?width=80
Patrick McDonald,OF,"6'2""",200,R/R,14,https://gvsulakers.com/images/2022/9/21/McDonald__Patrick_NVVsk.jpg?width=80
Cade Stanton,INF,"6'1""",205,R/R,15,https://gvsulakers.com/images/2022/9/21/Stanton__Cade_LqbMj.jpg?width=80
DeMarion Owens,INF,"5'10""",160,R/R,16,https://gvsulakers.com/images/2022/9/21/Owens__DeMarion_CCKs8.jpg?width=80
Tyler Haines,RHP,"5'11""",170,R/R,18,https://gvsulakers.com/images/2022/9/21/Haines__Tyler_EMrCC.jpg?width=80
Mike Morawski,LHP/OF,"6'4""",210,L/L,20,https://gvsulakers.com/images/2022/9/21/Morawski__Mike_ydLV7.jpg?width=80
Spencer Nelson,OF,"6'3""",195,R/R,21,https://gvsulakers.com/images/2022/9/21/Nelson__Spencer_5PeJ7.jpg?width=80
William Goebel,LHP,"6'2""",185,L/L,22,https://gvsulakers.com/images/2022/9/21/Goebel__Will_K6pS5.jpg?width=80
Carter Rohman,INF,"6'3""",185,R/R,23,https://gvsulakers.com/images/2022/9/21/Rohman__Carter_QgDAU.jpg?width=80
MacArthur Graybill,C,"6'0""",195,R/R,24,https://gvsulakers.com/images/2022/9/21/Graybill__MacArthur_sMj1Y.jpg?width=80
Logan Anderson,INF,"6'0""",225,R/R,25,https://gvsulakers.com/images/2022/9/21/Anderson__Logan_3Xpo2.jpg?width=80
Sam Leck,RHP,"6'3""",197,R/R,26,https://gvsulakers.com/images/2022/9/21/Leck__Sam_LdZid.jpg?width=80
Ty Stepek,C,"6'2""",175,R/R,27,https://gvsulakers.com/images/2022/9/21/Stepek__Ty_YveuY.jpg?width=80
Brendan Guciardo,C,"6'0""",185,R/R,28,https://gvsulakers.com/images/2022/9/21/Guciardo__Brendan_nIXUs.jpg?width=80
Brendan Pierce,LHP,"5'10""",165,L/L,30,https://gvsulakers.com/images/2022/9/21/Pierce__Brendan_LSCul.jpg?width=80
Rylan Peets,RHP,"6'3""",210,L/R,31,https://gvsulakers.com/images/2022/9/21/Peets__Rylan_zkm1F.jpg?width=80
Josh Schell,RHP,"6'4""",250,R/R,32,https://gvsulakers.com/images/2022/10/13/Schell__Josh_DLqsd.jpg?width=80
Owen Avery,RHP,"6'2""",220,R/R,33,https://gvsulakers.com/images/2022/9/21/Avery__Owen_YbMmg.jpg?width=80
Nino Puckett,RHP,"6'0""",260,R/R,34,https://gvsulakers.com/images/2022/9/21/Puckett__Nino_Tw7PV.jpg?width=80
Collin Bradley,RHP,"6'2""",187,R/R,35,https://gvsulakers.com/images/2022/9/21/Bradley__Collin_BEaim.jpg?width=80
Louise Stornello Jr.,LHP,"6'5""",250,L/L,40,https://gvsulakers.com/images/2022/9/21/Stornello_Jr.__Louise_InpLW.jpg?width=80
Nick Rutkowski,RHP,"6'0""",205,R/R,41,https://gvsulakers.com/images/2022/9/21/Rutkowski__Nick_IN0bI.jpg?width=80
Austin Brown,RHP,"6'0""",215,R/R,44,https://gvsulakers.com/images/2022/9/21/Brown__Austin_j5sEv.jpg?width=80
Conner McCormack,1B,"6'3""",205,R/R,45,https://gvsulakers.com/images/2022/9/21/McCormack__Conner_dqg0K.jpg?width=80
Logan Wynalda,RHP,"6'5""",220,R/R,55,https://gvsulakers.com/images/2022/9/21/Wynalda__Logan_hVgig.jpg?width=80
