,pos,height,weight,hits/throws,number,image
Joel Schipper,IF/OF,"5'11""",187,L/R,2,https://gvsulakers.com/images/2015/2/27//_W2_6483.jpg?width=80
Kevin Zak,INF,"6'2""",190,R/R,3,https://gvsulakers.com/images/2015/2/27//_W2_6496.jpg?width=80
Kevin Hallberg,RHP,"6'3""",195,R/R,4,https://gvsulakers.com/images/2015/2/27//_W2_6464.jpg?width=80
John McLaughlin,C,"5'10""",195,R/R,5,https://gvsulakers.com/images/2015/2/27//_W2_6492.jpg?width=80
Dakota Prince,C,"6'0""",195,R/R,6,https://gvsulakers.com/images/2015/2/27//_W2_6495.jpg?width=80
Matt Williams,P/IF/OF,"6'3""",200,R/R,7,https://gvsulakers.com/images/2015/2/27//_W2_6479.jpg?width=80
Josh C. Smith,INF,"5'11""",175,R/R,8,https://gvsulakers.com/images/2015/2/27//_W2_6501.jpg?width=80
Jesse Abel,INF,"6'0""",175,R/R,9,https://gvsulakers.com/images/2015/2/27//_W2_6494.jpg?width=80
Mike Nadratowski,OF,"6'0""",190,L/L,10,https://gvsulakers.com/images/2015/2/27//_W2_6498.jpg?width=80
Mitch Ashcraft,RHP,"5'11""",145,R/R,11,https://gvsulakers.com/images/2015/2/27//_W2_6472.jpg?width=80
Kevin Carroll,1B,"6'2""",205,R/R,13,https://gvsulakers.com/images/2015/2/27//_W2_6481.jpg?width=80
Aaron Overbeck,INF,"6'1""",200,R/R,14,https://gvsulakers.com/images/2015/2/27//_W2_6485.jpg?width=80
Taylor Huebner,IF/OF,"6'0""",205,L/R,15,https://gvsulakers.com/images/2015/2/27//_W2_6499.jpg?width=80
Connor Glick,C,"6'4""",200,R/R,16,https://gvsulakers.com/images/2015/2/27//_W2_6490.jpg?width=80
Josh Griffith,RHP/1B,"6'3""",200,R/R,17,https://gvsulakers.com/images/2015/2/27//_W2_6497.jpg?width=80
Patrick Bobolts,C,"5'11""",205,R/R,18,https://gvsulakers.com/images/2015/2/27//_W2_6487.jpg?width=80
Tyler Lozen,RHP,"6'2""",200,R/R,22,https://gvsulakers.com/images/2015/2/27//_W2_6469.jpg?width=80
Evan Nietfeldt,RHP,"6'5""",205,R/R,24,https://gvsulakers.com/images/2015/2/27//_W2_6476.jpg?width=80
Tim Tarter,LHP,"6'5""",225,L/L,25,https://gvsulakers.com/images/2015/2/27//_W2_6477.jpg?width=80
Reid Kelley,RHP,"6'2""",190,R/R,26,https://gvsulakers.com/images/2015/2/27//_W2_6478.jpg?width=80
Jamie Potts,OF,"6'3""",228,L/R,27,https://gvsulakers.com/images/2015/2/27//_W2_6486.jpg?width=80
Patrick Kelly,RHP,"5'8""",160,R/R,28,https://gvsulakers.com/images/2015/2/27//_W2_6467.jpg?width=80
Zach Anderson,RHP,"6'0""",160,R/R,29,https://gvsulakers.com/images/2015/2/27//_W2_6465.jpg?width=80
Adam Poel,RHP,"6'1""",220,R/R,30,https://gvsulakers.com/images/2015/2/27//_W2_6471.jpg?width=80
Mitchell Kozlowski,INF,"5'9""",175,R/R,31,https://gvsulakers.com/images/2015/2/27//_W2_6491.jpg?width=80
Aaron Jensen,RHP,"6'8""",250,R/R,33,https://gvsulakers.com/images/2015/2/27//_W2_6466.jpg?width=80
Jason Ribecky,OF,"6'4""",225,L/R,40,https://gvsulakers.com/images/2015/2/27//_W2_6493.jpg?width=80
